"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","济宁销量","济宁库存","济宁可订购","济南销量","济南库存","济南可订购","太原销量","太原库存","太原可订购","德州总体销量","德州总体库存","德州总体可订购","南京销量","南京库存","南京可订购","厦门销量","厦门库存","厦门可订购","兰州销量","兰州库存","兰州可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","长沙销量","长沙库存","长沙可订购","昆明销量","昆明库存","昆明可订购","银川销量","银川库存","银川可订购","北京总体销量","北京总体库存","北京总体可订购","宿迁销量","宿迁库存","宿迁可订购","南昌销量","南昌库存","南昌可订购","洛阳销量","洛阳库存","洛阳可订购","天津销量","天津库存","天津可订购","重庆销量","重庆库存","重庆可订购","合肥销量","合肥库存","合肥可订购","海口销量","海口库存","海口可订购","驻马店销量","驻马店库存","驻马店可订购","荆州销量","荆州库存","荆州可订购","南充销量","南充库存","南充可订购","唐山销量","唐山库存","唐山可订购","台州销量","台州库存","台州可订购","大同销量","大同库存","大同可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","柳州销量","柳州库存","柳州可订购","长春销量","长春库存","长春可订购","衡阳销量","衡阳库存","衡阳可订购","锦州销量","锦州库存","锦州可订购","拉萨销量","拉萨库存","拉萨可订购","临汾销量","临汾库存","临汾可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","大连销量","大连库存","大连可订购","福州销量","福州库存","福州可订购","青岛销量","青岛库存","青岛可订购","杭州销量","杭州库存","杭州可订购"
"1518901","【京东超市】寿全斋 胎菊 菊花茶 杭白菊 35g/罐","寿全斋（SHOUQUANZHAI）","上柜","26.0000","7","444","437","- ","- ","- ","0","0","0","2","136","136","0","141","141","1","40","33","1","3","3","0","6","6","0","14","14","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","0","41","41","0","0","0","0","3","3","0","0","0","- ","- ","- ","0","3","3","0","3","3","1","0","0","0","1","1","- ","- ","- ","3","63","63","0","0","0","0","0","0","- ","- ","- ","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","2","2","0","0","0","0","4","4","0","0","0","0","4","4"
"4365817","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250gx2（2袋装）","寿全斋（SHOUQUANZHAI）","上柜","52.0000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2297752","【京东超市】寿全斋 桂圆红枣茶10支装 速溶颗粒饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","51","479","913","- ","- ","- ","9","0","0","13","117","117","11","122","230","4","48","48","3","13","121","1","48","84","0","27","31","0","5","5","1","2","2","- ","- ","- ","0","0","0","0","2","2","0","44","44","- ","- ","- ","0","2","1","0","3","3","0","3","3","1","25","25","0","0","0","0","2","2","2","0","0","0","0","0","10","60","238","0","2","2","- ","- ","- ","- ","- ","- ","9","0","0","1","3","3","0","4","4","0","1","4","0","0","0","- ","- ","- ","0","1","1","- ","- ","- ","0","1","1","- ","- ","- ","0","0","4","0","0","0","0","1","1","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","8","8","1","4","4","0","3","3","0","3","3","5","7","7"
"1518895","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250g","寿全斋（SHOUQUANZHAI）","上柜","26.0000","39","5458","5598","- ","- ","- ","2","11","11","5","1384","1384","17","1534","1536","5","514","514","2","479","476","0","281","281","2","396","396","0","8","8","0","8","8","0","0","0","1","0","0","0","0","0","3","0","144","1","159","159","5","27","27","1","6","6","0","50","50","0","162","162","0","5","5","0","10","10","1","1","1","0","5","5","3","859","856","1","7","7","0","6","6","- ","- ","- ","2","11","11","3","8","8","0","36","36","0","15","15","0","2","2","- ","- ","- ","0","1","1","0","5","5","0","4","4","- ","- ","- ","1","15","15","0","1","4","0","5","5","0","2","1","0","3","3","0","1","1","- ","- ","- ","0","0","0","0","11","11","0","4","4","0","10","10","0","0","0","1","142","142"
"4928460","【京东超市】寿全斋 朕的心意 妃常暖紫米燕麦姜饮 姜茶姜汤速溶 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","6","352","352","- ","- ","- ","2","0","0","0","63","63","1","76","76","0","38","38","0","30","30","3","19","19","0","48","48","1","13","13","0","9","9","- ","- ","- ","- ","- ","- ","0","5","5","0","19","19","0","15","15","0","7","7","0","3","3","- ","- ","- ","0","16","16","0","0","0","0","2","2","0","6","6","0","2","2","0","59","59","0","0","0","0","5","5","- ","- ","- ","2","0","0","0","1","1","0","0","0","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","12","12","1","1","1","1","0","0","0","15","15","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","0","11","11","0","6","6","0","9","9","0","3","3","0","12","12"
"1505905","【京东超市】寿全斋 红枣姜茶 姜枣茶 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","24.8000","77","3161","4064","- ","- ","- ","6","0","0","20","521","737","17","730","726","4","274","345","7","249","399","6","267","410","3","161","232","0","14","14","0","10","9","0","3","3","0","0","0","0","6","5","3","59","61","1","37","37","1","4","4","0","6","6","1","1","1","3","185","185","6","2","2","0","0","0","0","1","1","0","5","5","11","900","1154","1","7","7","0","5","5","0","2","2","6","0","0","2","12","12","0","9","9","0","2","2","0","6","6","0","2","9","1","1","1","0","0","2","0","4","4","0","3","3","1","3","3","0","2","2","4","6","6","0","5","5","0","9","9","0","2","2","0","3","3","0","12","12","0","15","15","1","9","9","0","3","3","0","9","13","2","38","74"
"4521540","【京东超市】寿全斋 红糖姜茶 姨妈茶速溶姜母茶老姜汤 12克*30条量贩分享装共360克","寿全斋（SHOUQUANZHAI）","上柜","60.0000","118","3942","5169","- ","- ","- ","1","49","48","19","785","1003","20","527","932","18","705","704","11","261","479","9","249","248","12","366","564","5","2","2","0","8","8","0","0","0","- ","- ","- ","0","0","0","8","0","0","0","163","163","2","19","17","0","7","7","0","11","11","3","0","0","4","4","14","5","1","1","4","1","1","1","18","18","20","1000","1191","0","13","13","0","5","5","0","2","2","1","49","48","2","12","12","0","4","4","2","3","3","0","6","6","0","1","1","0","4","4","0","59","59","0","4","4","3","2","2","1","13","11","0","3","3","0","6","6","0","3","3","0","5","5","0","2","2","1","0","0","0","0","0","1","6","6","0","13","13","1","9","9","0","0","0","2","124","124"
"2099812","【京东超市】寿全斋 红糖老姜汤 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","36","1641","2215","- ","- ","- ","2","0","0","12","376","446","6","550","553","4","94","167","1","95","202","6","88","270","0","82","154","0","6","6","4","0","2","0","1","1","0","0","0","0","0","0","1","1","1","1","60","60","0","0","3","0","5","5","1","3","3","2","125","125","0","4","4","0","0","0","0","2","2","0","14","14","4","355","422","0","4","4","0","0","0","- ","- ","- ","2","0","0","0","1","1","0","2","2","0","2","2","0","1","1","0","2","2","0","4","4","- ","- ","- ","0","3","3","- ","- ","- ","0","13","13","0","2","2","0","0","2","0","7","7","0","3","3","- ","- ","- ","- ","- ","- ","0","0","0","0","7","7","0","8","8","0","2","2","0","0","0","0","78","78"
"3502220","【京东超市】寿全斋 红枣姜茶 姨妈茶 姜枣茶 速溶生姜茶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","127.0000","1","232","256","- ","- ","- ","0","0","0","0","40","40","1","47","47","0","47","47","0","20","28","0","9","25","0","13","13","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","13","13","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","43","43","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","6","6"
"4203913","【京东超市】寿全斋 大麦若叶青汁大麦苗粉营养代餐粉 3gx10包 共30g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","7","322","316","- ","- ","- ","- ","- ","- ","0","90","88","0","76","75","2","32","32","0","3","3","0","17","17","0","7","7","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","3","17","17","- ","- ","- ","0","0","0","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","2","80","77","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- "
