"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","南京销量","南京库存","南京可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","唐山销量","唐山库存","唐山可订购","厦门销量","厦门库存","厦门可订购","长沙销量","长沙库存","长沙可订购","荆州销量","荆州库存","荆州可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","昆明销量","昆明库存","昆明可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","台州销量","台州库存","台州可订购","杭州销量","杭州库存","杭州可订购","长春销量","长春库存","长春可订购","南充销量","南充库存","南充可订购","洛阳销量","洛阳库存","洛阳可订购","天津销量","天津库存","天津可订购","青岛销量","青岛库存","青岛可订购","太原销量","太原库存","太原可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","兰州销量","兰州库存","兰州可订购","宿迁销量","宿迁库存","宿迁可订购","驻马店销量","驻马店库存","驻马店可订购","南昌销量","南昌库存","南昌可订购","银川销量","银川库存","银川可订购","柳州销量","柳州库存","柳州可订购","北京总体销量","北京总体库存","北京总体可订购","大连销量","大连库存","大连可订购","海口销量","海口库存","海口可订购","拉萨销量","拉萨库存","拉萨可订购","重庆销量","重庆库存","重庆可订购","德州总体销量","德州总体库存","德州总体可订购","济南销量","济南库存","济南可订购","福州销量","福州库存","福州可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","合肥销量","合肥库存","合肥可订购","济宁销量","济宁库存","济宁可订购","衡阳销量","衡阳库存","衡阳可订购","锦州销量","锦州库存","锦州可订购","大同销量","大同库存","大同可订购","临汾销量","临汾库存","临汾可订购"
"2338971","【京东超市】寿全斋 暖心搭配礼盒 红糖姜茶120gx2盒+红枣片45gx1盒+玫瑰花茶30gx1盒 速溶姜母茶 姜枣茶 花草茶","寿全斋（SHOUQUANZHAI）","上柜","79.0000","7","635","635","- ","- ","- ","1","0","0","1","147","146","1","108","108","1","140","140","1","128","130","1","25","24","0","18","18","- ","- ","- ","0","3","3","- ","- ","- ","1","2","2","0","4","4","- ","- ","- ","0","9","9","1","1","3","0","0","0","0","1","1","0","5","5","0","23","23","0","3","2","0","4","4","0","1","1","1","0","0","0","0","0","- ","- ","- ","0","1","1","0","2","2","0","1","1","0","1","1","- ","- ","- ","0","5","5","0","1","1","- ","- ","- ","1","57","57","1","0","0","0","0","0","- ","- ","- ","0","2","2","0","12","12","0","0","0","- ","- ","- ","- ","- ","- ","0","2","2","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4336995","【京东超市】寿全斋 花草茶 冻干柠檬片水果茶 泡水蜂蜜柠檬花茶 40gx2（2盒装）","寿全斋（SHOUQUANZHAI）","上柜","59.8000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4450489","【京东超市】寿全斋 红糖姜茶+黑糖姜茶 红糖 姨妈茶 姜枣茶 速溶姜母茶老姜汤  120g+120g","寿全斋（SHOUQUANZHAI）","上柜","39.6000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3912701","【京东超市】寿全斋 愿姜来红枣姜茶-纸罐装 暖心饮品姨妈茶姜枣茶速溶姜茶姜汤 120克","寿全斋（SHOUQUANZHAI）","上柜","29.9000","11","460","575","- ","- ","- ","0","0","0","4","40","40","0","186","186","1","39","38","1","37","72","0","28","100","1","13","24","0","0","0","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","34","34","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","2","2","- ","- ","- ","3","117","115","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1518901","【京东超市】寿全斋 胎菊 菊花茶 杭白菊 35g/罐","寿全斋（SHOUQUANZHAI）","上柜","26.0000","6","501","497","- ","- ","- ","0","0","0","0","150","149","1","150","150","0","46","43","0","8","8","0","10","10","1","16","16","0","0","0","0","0","0","- ","- ","- ","0","3","3","0","0","0","- ","- ","- ","0","3","3","0","3","3","0","1","1","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- ","0","1","1","- ","- ","- ","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","4","77","77","0","0","0","0","0","0","- ","- ","- ","0","0","0","0","44","44","0","0","0","0","5","5","- ","- ","- ","0","2","2","0","4","4","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4365817","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250gx2（2袋装）","寿全斋（SHOUQUANZHAI）","上柜","52.0000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4928460","【京东超市】寿全斋 朕的心意 妃常暖紫米燕麦姜饮 姜茶姜汤速溶 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","3","365","364","- ","- ","- ","0","0","0","0","63","63","1","80","79","0","38","38","1","30","30","1","22","22","0","48","48","0","15","15","0","12","12","- ","- ","- ","0","7","7","0","2","2","- ","- ","- ","0","16","16","1","0","0","0","6","6","- ","- ","- ","- ","- ","- ","0","12","12","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","3","3","0","5","5","0","14","14","0","9","9","0","3","3","0","0","0","0","1","1","0","5","5","0","2","2","0","1","1","0","64","64","0","6","6","- ","- ","- ","- ","- ","- ","0","1","1","0","20","20","- ","- ","- ","0","9","9","0","1","1","0","11","11","0","0","0","- ","- ","- ","0","15","15","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3502220","【京东超市】寿全斋 红枣姜茶 姨妈茶 姜枣茶 速溶生姜茶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","127.0000","6","259","259","- ","- ","- ","0","0","0","0","45","45","3","51","51","0","48","48","0","23","23","0","14","14","0","16","16","0","0","0","- ","- ","- ","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","1","0","0","0","3","3","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","6","6","0","2","2","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","48","48","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","3","14","14","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3336384","【京东超市】寿全斋 红枣黑糖姜块 姨妈茶 姜枣茶 手工速溶生姜茶黑糖块老姜汤姜母茶罐装 180g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","113","3987","4327","- ","- ","- ","5","39","36","16","744","739","39","709","740","12","330","328","8","303","390","10","332","420","5","106","251","3","91","91","0","12","12","1","1","1","0","6","6","4","2","0","0","2","2","5","128","158","3","17","16","0","4","4","0","5","5","0","1","1","2","81","80","0","13","13","0","6","6","- ","- ","- ","5","39","36","0","17","16","0","10","10","4","3","3","1","1","1","1","12","12","2","14","14","0","3","3","0","7","7","0","4","4","0","3","3","16","1108","1108","5","10","10","1","1","6","0","1","1","2","0","0","2","316","315","1","0","0","0","8","8","0","5","5","0","7","7","0","11","11","0","2","2","0","4","4","0","2","2","0","3","3","0","7","7"
"2169927","【京东超市】寿全斋 姜茶套装：红糖+黑糖+柠檬+蜂蜜姜茶 姨妈茶 速溶生姜茶4盒120g/盒 480g","寿全斋（SHOUQUANZHAI）","上柜","79.0000","49","1668","1835","- ","- ","- ","0","0","0","8","203","323","5","583","583","13","114","114","5","110","161","7","148","148","1","97","96","1","35","35","0","5","5","1","0","0","0","10","10","1","5","5","- ","- ","- ","1","485","485","2","4","12","0","8","8","1","4","4","0","0","0","1","15","39","2","10","10","0","3","3","- ","- ","- ","0","0","0","0","5","5","0","5","5","1","2","2","3","3","3","0","3","3","1","2","2","2","2","1","0","4","4","0","1","1","0","1","1","6","372","369","3","1","1","0","4","4","- ","- ","- ","0","2","2","4","41","41","1","0","0","0","2","2","0","3","3","0","1","1","0","2","2","- ","- ","- ","0","1","1","0","1","1","- ","- ","- ","- ","- ","- "
