"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","石家庄销量","石家庄库存","石家庄可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","昆明销量","昆明库存","昆明可订购","海口销量","海口库存","海口可订购","驻马店销量","驻马店库存","驻马店可订购","济宁销量","济宁库存","济宁可订购","大同销量","大同库存","大同可订购","南京销量","南京库存","南京可订购","天津销量","天津库存","天津可订购","太原销量","太原库存","太原可订购","宿迁销量","宿迁库存","宿迁可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","柳州销量","柳州库存","柳州可订购","重庆销量","重庆库存","重庆可订购","大连销量","大连库存","大连可订购","贵阳销量","贵阳库存","贵阳可订购","银川销量","银川库存","银川可订购","台州销量","台州库存","台州可订购","荆州销量","荆州库存","荆州可订购","北京总体销量","北京总体库存","北京总体可订购","福州销量","福州库存","福州可订购","郑州销量","郑州库存","郑州可订购","南宁销量","南宁库存","南宁可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","唐山销量","唐山库存","唐山可订购","济南销量","济南库存","济南可订购","厦门销量","厦门库存","厦门可订购","南昌销量","南昌库存","南昌可订购","长春销量","长春库存","长春可订购","洛阳销量","洛阳库存","洛阳可订购","德州总体销量","德州总体库存","德州总体可订购","临汾销量","临汾库存","临汾可订购","长沙销量","长沙库存","长沙可订购","合肥销量","合肥库存","合肥可订购","杭州销量","杭州库存","杭州可订购","深圳销量","深圳库存","深圳可订购","青岛销量","青岛库存","青岛可订购","兰州销量","兰州库存","兰州可订购","衡阳销量","衡阳库存","衡阳可订购","拉萨销量","拉萨库存","拉萨可订购","南充销量","南充库存","南充可订购","锦州销量","锦州库存","锦州可订购"
"3502242","【京东超市】寿全斋 黑糖姜茶 姨妈茶 速溶生姜茶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","129.0000","3","191","191","- ","- ","- ","0","2","2","0","59","59","0","60","60","0","15","15","1","17","17","1","3","3","0","4","4","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","1","31","31","- ","- ","- ","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1273858","【京东超市】寿全斋 红糖姜茶 红糖 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","19.8000","572","29233","30526","- ","- ","- ","25","167","189","107","5932","5924","115","12340","12380","75","1879","1871","57","2346","2305","36","883","1239","30","794","1112","0","21","21","3","84","83","6","59","59","2","10","29","2","17","16","1","9","9","0","0","8","11","291","289","25","167","189","0","24","24","3","16","15","9","9","8","4","11","11","18","26","24","5","24","22","12","28","27","0","9","9","0","8","8","1","6","6","95","4247","4888","1","13","13","8","57","55","6","37","36","1","23","23","0","10","10","11","0","0","1","20","68","7","23","17","9","37","36","3","7","7","32","645","618","0","12","11","14","0","0","13","34","34","9","502","606","29","1226","1215","0","165","162","0","35","35","2","7","7","0","0","0","-1","13","13","0","8","8"
"2338971","【京东超市】寿全斋 暖心搭配礼盒 红糖姜茶120gx2盒+红枣片45gx1盒+玫瑰花茶30gx1盒 速溶姜母茶 姜枣茶 花草茶","寿全斋（SHOUQUANZHAI）","上柜","79.0000","15","583","577","- ","- ","- ","0","0","0","4","139","139","5","94","92","1","132","128","2","121","124","0","21","21","0","18","17","- ","- ","- ","0","2","2","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","0","3","3","0","1","1","- ","- ","- ","0","2","1","0","1","1","1","1","1","0","2","2","0","5","5","- ","- ","- ","3","47","47","1","0","0","1","0","4","0","1","1","0","3","3","- ","- ","- ","0","0","0","0","2","2","1","4","4","0","2","2","0","1","1","0","11","9","- ","- ","- ","0","4","4","0","2","2","0","22","22","0","9","9","0","1","1","0","1","1","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- "
"3083448","【京东超市】寿全斋 黑糖姜块姜母茶 手工姜茶速溶黑糖块老姜汤罐装 180g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","52","971","1156","- ","- ","- ","1","6","6","7","154","244","13","300","300","11","66","66","4","39","44","1","131","131","6","41","71","0","6","6","0","7","7","0","4","4","1","3","3","0","1","1","0","2","2","- ","- ","- ","0","28","28","1","6","6","0","7","7","0","4","4","1","1","1","1","1","1","5","0","0","0","8","8","0","1","1","0","3","3","- ","- ","- ","0","2","2","7","174","234","1","2","2","0","2","6","0","8","8","3","2","2","- ","- ","- ","1","0","0","0","9","9","0","1","1","0","3","3","- ","- ","- ","2","60","60","- ","- ","- ","1","0","1","0","1","1","3","8","8","1","18","18","0","10","10","0","3","3","1","2","2","0","1","1","0","3","3","- ","- ","- "
"1518895","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250g","寿全斋（SHOUQUANZHAI）","上柜","26.0000","32","5648","5815","- ","- ","- ","1","16","16","4","1420","1420","8","1567","1591","4","518","517","3","501","501","0","291","291","1","410","409","0","0","0","0","11","11","0","2","2","0","15","15","0","2","2","0","0","0","- ","- ","- ","0","161","161","1","16","16","0","0","0","0","11","11","0","50","50","0","4","4","0","11","11","0","3","3","1","8","8","0","5","5","0","4","4","- ","- ","- ","5","925","926","0","10","10","0","10","10","0","12","12","1","16","16","0","1","5","1","0","0","0","27","27","0","3","3","1","5","5","- ","- ","- ","6","0","144","- ","- ","- ","1","11","11","0","38","38","0","146","146","1","148","172","0","0","0","0","7","7","0","2","2","0","1","1","0","1","1","0","3","3"
"1273862","【京东超市】寿全斋 姜茶套装：红糖姜茶3盒+黑糖姜茶1盒 姨妈茶  速溶姜母茶老姜汤 480g","寿全斋（SHOUQUANZHAI）","上柜","69.0000","315","14307","14545","- ","- ","- ","13","56","56","54","2746","2784","87","5153","5245","42","1050","1039","27","1130","1125","20","533","649","9","735","750","0","22","22","1","19","18","6","3","3","2","1","10","2","19","19","2","2","2","1","4","4","3","128","124","13","56","56","0","33","33","1","8","7","5","7","7","1","11","11","10","31","30","3","14","14","13","2","0","1","5","4","0","4","4","0","5","5","45","2604","2595","1","1","21","5","30","30","20","3","33","1","21","21","1","10","10","6","0","0","2","10","29","3","18","18","0","12","11","1","9","8","18","300","302","0","3","9","2","35","34","3","19","19","7","183","230","14","379","402","0","37","34","5","5","24","0","3","3","2","3","3","0","8","8","0","3","3"
"3502216","【京东超市】寿全斋 小儿姜茶 固态生姜茶饮料 儿童姜母茶姜汤 甜味固体冲剂6g*12包 72g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","10","380","524","- ","- ","- ","0","1","1","4","145","217","0","76","76","0","32","32","5","15","15","0","22","22","0","3","3","- ","- ","- ","0","0","0","- ","- ","- ","0","0","0","0","2","2","0","1","1","- ","- ","- ","2","5","41","0","1","1","0","2","2","0","0","0","0","5","5","0","1","1","0","4","4","0","1","1","0","1","1","0","0","0","- ","- ","- ","- ","- ","- ","1","48","120","0","2","2","0","1","1","0","0","0","0","1","1","- ","- ","- ","0","0","0","0","0","0","0","2","2","0","3","3","- ","- ","- ","0","38","38","- ","- ","- ","0","0","0","0","0","0","0","3","3","0","15","15","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2896537","【京东超市】寿全斋 花草茶 红枣片45g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","12","3429","3425","- ","- ","- ","0","239","239","4","739","738","2","823","822","1","240","240","1","346","347","2","289","288","0","116","115","0","2","2","0","1","0","0","25","25","0","1","1","0","1","1","- ","- ","- ","0","1","1","2","15","15","0","239","239","0","2","2","0","0","0","0","3","3","0","0","0","1","3","3","0","2","2","0","2","2","0","1","1","0","1","0","0","2","2","2","599","598","0","2","2","0","0","1","0","1","1","0","1","1","- ","- ","- ","0","0","0","0","4","3","0","2","2","0","1","1","- ","- ","- ","0","38","38","- ","- ","- ","0","6","6","0","2","2","0","7","7","1","222","222","0","5","5","0","0","0","0","1","1","0","3","3","- ","- ","- ","- ","- ","- "
"2098795","【京东超市】寿全斋 红糖姜茶 姨妈茶 速溶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","125.0000","11","452","455","- ","- ","- ","0","1","1","2","90","90","4","138","137","0","45","44","1","24","24","4","24","30","0","40","40","- ","- ","- ","0","3","3","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","0","0","0","0","0","0","- ","- ","- ","0","1","1","0","0","0","0","1","7","0","2","2","0","1","1","- ","- ","- ","- ","- ","- ","0","81","80","- ","- ","- ","1","0","0","1","0","0","0","2","2","- ","- ","- ","- ","- ","- ","0","11","11","0","4","4","0","0","0","- ","- ","- ","0","9","9","- ","- ","- ","0","2","2","- ","- ","- ","1","2","2","1","2","1","0","0","0","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4139646","【京东超市】寿全斋 暖贡姜茶礼盒 红糖红枣枸杞姜茶老姜汤姨妈茶姜枣茶 12gx30条 360g","寿全斋（SHOUQUANZHAI）","上柜","256.0000","5","905","904","- ","- ","- ","0","0","0","2","16","16","0","4","4","0","0","0","0","2","1","1","2","2","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","0","0","0","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","0","879","879","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","1","0","0","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
