"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","海口销量","海口库存","海口可订购","德州总体销量","德州总体库存","德州总体可订购","拉萨销量","拉萨库存","拉萨可订购","临汾销量","临汾库存","临汾可订购","南京销量","南京库存","南京可订购","福州销量","福州库存","福州可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","合肥销量","合肥库存","合肥可订购","唐山销量","唐山库存","唐山可订购","济宁销量","济宁库存","济宁可订购","长沙销量","长沙库存","长沙可订购","宿迁销量","宿迁库存","宿迁可订购","衡阳销量","衡阳库存","衡阳可订购","大同销量","大同库存","大同可订购","长春销量","长春库存","长春可订购","洛阳销量","洛阳库存","洛阳可订购","北京总体销量","北京总体库存","北京总体可订购","大连销量","大连库存","大连可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","青岛销量","青岛库存","青岛可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","南昌销量","南昌库存","南昌可订购","银川销量","银川库存","银川可订购","柳州销量","柳州库存","柳州可订购","济南销量","济南库存","济南可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","昆明销量","昆明库存","昆明可订购","台州销量","台州库存","台州可订购","厦门销量","厦门库存","厦门可订购","重庆销量","重庆库存","重庆可订购","荆州销量","荆州库存","荆州可订购","天津销量","天津库存","天津可订购","太原销量","太原库存","太原可订购","驻马店销量","驻马店库存","驻马店可订购","杭州销量","杭州库存","杭州可订购","兰州销量","兰州库存","兰州可订购","南充销量","南充库存","南充可订购","锦州销量","锦州库存","锦州可订购"
"1688084","【京东超市】寿全斋 生姜红茶十支装 固体饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","27.0000","5","525","526","- ","- ","- ","0","7","7","0","119","119","0","149","150","0","40","40","1","49","49","3","31","31","1","10","10","0","2","2","0","23","23","- ","- ","- ","- ","- ","- ","0","18","18","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","0","1","1","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","0","97","97","0","2","2","0","0","0","0","4","4","0","7","7","0","1","1","- ","- ","- ","0","1","1","0","1","1","0","0","0","0","3","3","0","0","0","0","0","0","- ","- ","- ","0","0","1","0","4","4","- ","- ","- ","0","7","7","0","2","2","0","1","1","0","2","2","0","3","3","0","1","1","0","4","4"
"2297752","【京东超市】寿全斋 桂圆红枣茶10支装 速溶颗粒饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","21","591","588","- ","- ","- ","0","1","1","3","139","139","9","144","143","4","62","61","2","19","19","0","53","53","0","39","39","2","1","1","1","44","44","- ","- ","- ","- ","- ","- ","2","0","0","0","3","3","- ","- ","- ","1","2","2","0","0","0","0","5","5","- ","- ","- ","- ","- ","- ","0","2","2","0","3","3","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","2","90","89","-1","4","4","0","3","3","0","3","3","0","5","5","0","3","3","- ","- ","- ","0","0","0","0","0","0","0","0","0","3","26","26","0","2","2","0","0","-1","0","1","1","0","2","2","0","3","3","- ","- ","- ","0","1","1","0","2","2","2","0","0","0","13","13","0","3","3","0","1","1","1","1","1"
"2099812","【京东超市】寿全斋 红糖老姜汤 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","55","1576","1752","- ","- ","- ","0","0","0","17","370","406","13","502","577","4","31","102","1","102","102","10","115","115","2","82","83","0","2","2","6","1","1","- ","- ","- ","- ","- ","- ","0","25","61","0","2","2","0","0","0","0","7","7","0","4","13","0","2","2","- ","- ","- ","0","1","1","1","0","0","0","4","4","0","7","7","- ","- ","- ","0","2","2","- ","- ","- ","2","373","366","10","8","8","0","4","4","0","0","0","0","6","6","0","0","0","0","1","1","0","4","4","0","2","2","2","0","0","1","57","129","0","6","6","0","2","2","0","3","3","0","0","3","1","1","1","0","2","2","0","0","0","0","0","0","0","1","1","0","78","78","1","6","6","0","4","4","0","3","3"
"1518870","【京东超市】寿全斋 花草茶 法兰西玫瑰 玫瑰花茶罐装 40g","寿全斋（SHOUQUANZHAI）","上柜","31.0000","4","50","48","- ","- ","- ","0","0","0","1","0","0","0","2","2","0","3","3","0","0","0","1","19","18","0","17","17","0","1","1","1","0","0","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","1","1","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","9","8","- ","- ","- ","- ","- ","- ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","- ","- ","- ","1","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","3","3","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4139646","【京东超市】寿全斋 暖贡姜茶礼盒 红糖红枣枸杞姜茶老姜汤姨妈茶姜枣茶 12gx30条 360g","寿全斋（SHOUQUANZHAI）","上柜","256.0000","4","891","891","- ","- ","- ","0","0","0","0","12","12","0","3","3","0","0","0","1","0","0","0","0","0","0","2","2","0","2","2","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","3","874","874","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1518895","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250g","寿全斋（SHOUQUANZHAI）","上柜","26.0000","43","5555","5721","- ","- ","- ","0","13","13","14","1397","1397","9","1555","1578","-1","519","518","6","482","488","2","282","285","0","410","409","0","15","15","2","0","144","0","1","1","- ","- ","- ","1","161","161","0","10","10","0","0","0","1","11","11","0","16","16","1","36","36","0","5","5","0","0","0","1","10","10","2","8","8","0","2","2","- ","- ","- ","0","5","5","- ","- ","- ","11","897","889","0","1","4","0","50","50","0","0","0","0","11","11","0","8","8","0","0","6","0","5","5","0","4","4","0","0","0","3","144","168","1","8","8","0","2","1","0","4","4","0","27","27","0","11","11","- ","- ","- ","0","13","13","0","0","0","0","2","2","2","144","144","0","7","7","0","1","1","0","3","3"
"1505905","【京东超市】寿全斋 红枣姜茶 姜枣茶 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","24.8000","42","3334","3365","- ","- ","- ","1","0","0","13","538","555","13","771","773","1","290","290","2","272","269","4","280","280","3","164","171","0","0","3","0","70","78","0","2","2","0","3","3","0","22","40","1","4","4","0","15","15","1","16","16","0","5","5","1","10","10","0","2","2","0","3","3","0","0","0","0","3","9","0","5","5","0","3","3","1","10","10","0","2","2","5","949","949","0","12","12","0","2","2","0","5","14","0","14","14","0","0","0","1","5","5","0","6","6","0","4","3","0","0","0","5","197","197","0","13","10","0","1","1","0","4","4","0","6","6","1","0","0","0","2","2","1","0","0","0","7","7","0","7","7","0","42","42","0","0","7","0","3","3","0","9","9"
"1518910","【京东超市】寿全斋 花草茶 玫瑰荷叶茶 袋泡茶纸袋装 125g","寿全斋（SHOUQUANZHAI）","上柜","29.9000","5","488","485","- ","- ","- ","0","3","3","1","73","73","2","94","94","0","34","31","0","53","53","0","15","15","0","44","44","0","1","1","0","67","67","0","7","7","- ","- ","- ","0","6","6","0","6","6","0","3","3","0","3","3","0","3","3","- ","- ","- ","- ","- ","- ","0","6","6","0","0","0","1","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","2","105","105","0","2","2","0","0","0","0","5","5","0","1","1","0","1","1","- ","- ","- ","0","5","5","0","1","1","0","0","0","0","11","11","0","4","4","0","3","2","0","3","3","0","0","0","0","4","4","- ","- ","- ","0","3","3","0","3","3","0","2","2","0","15","15","0","1","1","- ","- ","- ","- ","- ","- "
"2098795","【京东超市】寿全斋 红糖姜茶 姨妈茶 速溶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","125.0000","3","447","447","- ","- ","- ","0","1","1","0","87","87","0","135","135","0","44","44","1","23","23","1","28","28","0","40","40","- ","- ","- ","1","8","8","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","1","1","0","0","0","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","0","81","81","0","7","7","- ","- ","- ","0","0","0","0","3","3","0","2","2","0","4","4","0","1","1","0","1","1","- ","- ","- ","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","0","11","11","0","0","0","- ","- ","- ","0","1","1","0","0","0","- ","- ","- ","0","2","2","0","1","1","- ","- ","- ","- ","- ","- "
"4820153","【京东超市】寿全斋 红糖姜枣膏 红糖姜茶红枣姜茶姜枣茶姜丝手工熬制姜汤姨妈茶 300g","寿全斋（SHOUQUANZHAI）","上柜","79.0000","0","645","716","- ","- ","- ","- ","- ","- ","0","143","142","0","144","144","0","72","72","0","0","72","0","72","72","0","72","72","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","142","142","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
